Investment Banking Name,Country
Bank-E- Millie Afghan,Afghanistan
BRAC Bank,Afghanistan
Maiwand Bank,Afghanistan
New Kabul Bank,Afghanistan
Banka Societe Generale Albania Sh.a,Albania
Cr ©dit Agricole Albania Bank SHA,Albania
International Commercial Bank Sh.A,Albania
Intesa Sanpaolo Bank Albania Sh.a.,Albania
"National Bank of Greece, Tirana Branch",Albania
ProCredit Bank Albania,Albania
Raiffeisen Bank Albania,Albania
Tirana Bank S.A.,Albania
Union Bank Sh.a.,Albania
Veneto Banka Sh.a.,Albania
Arab Banking Corporation - Algeria,Algeria
Banque Al Baraka D'Algerie S.P.A.,Algeria
"BNP Paribas El Djaza Ør, S.P.A.",Algeria
Banco Esp  rito Santo Angola S.A.R.,Angola
Banco Kwanza Invest SA,Angola
"Banco Millennium Angola, S.A.",Angola
Banco Sol,Angola
Finibanco Angola S.A.,Angola
Caribbean Commercial Bank (Anguilla) Limited,Anguilla
National Bank of Anguilla Limited,Anguilla
"Global Bank of Commerce, Ltd.",Antigua-and-Barbuda
Banco de Servicios y Transacciones S.A.,Argentina
Banco Meridian S.A.,Argentina
Banco Supervielle SA,Argentina
Caja de Credito Cooperativa La Capital del Plata Ltda.,Argentina
Industrial and Commercial Bank of China (Argentina) S.A.,Argentina
Mazars (Estudio Urien & Asociados),Argentina
ACBA-Credit Agricole Bank CJSC,Armenia
Araratbank Ojsc,Armenia
ArmBusinessBank CJSC,Armenia
Armenian Economy Development Bank Open Joint Stock Company,Armenia
Central Depository of Armenia Open Joint Stock Company,Armenia
Emporiki Bank-Armenia CJSC,Armenia
HSBC Bank Armenia cjsc,Armenia
INECOBANK CJSC,Armenia
VTB Bank (Armenia) CJSC,Armenia
10X Global Pty Ltd,Australia
Allan Hall Business Advisors Pty Limited,Australia
Alpha Auctus Pty Ltd,Australia
Andersen Partnership,Australia
Arab Bank Australia Limited,Australia
Argonaut Limited,Australia
AshleyMunro Pty Ltd,Australia
Axiom Forensics Pty Ltd,Australia
Banarra Pty Ltd.,Australia
Baxendale & Associates Pty Ltd.,Australia
Beilby Consulting Pty Ltd.,Australia
Bentleys Australia Pty Ltd,Australia
Bourke Group,Australia
BRI Ferrier (NSW) Pty Ltd,Australia
Catalyst Recruitment Systems Pty Ltd,Australia
Cavendish Superannuation Pty Ltd,Australia
Center for Association Management Pty Ltd.,Australia
Challenge Recruitment Ltd.,Australia
Chapman Eastway,Australia
Climax Business Strategies Pty Limited,Australia
Club Sales Ltd.,Australia
Community CPS Australia Limited,Australia
Consultants Exchange (Australasia) Pty Ltd.,Australia
Cordelta Pty. Ltd.,Australia
Corporate & Resource Consultants Pty. Ltd.,Australia
Corporate Scorecard Pty Ltd,Australia
Count Financial Limited,Australia
Depwest Pty Ltd.,Australia
DKM Group Pty Ltd,Australia
DKN Financial Group Limited,Australia
Dun & Bradstreet Australia Pty Ltd.,Australia
Engelhard Consulting,Australia
Evans and Partners Pty Ltd,Australia
Firebrand Global Pty Ltd,Australia
Frontier Financial Group Pty Ltd,Australia
FuturePlus Financial Services Pty Limited,Australia
Global Talent Services Pty Ltd.,Australia
GowerJones & Co. Pty Limited,Australia
Grant Thornton (Vic) Pty Ltd.,Australia
Hall Chadwick Corporate (NSW) Limited,Australia
Hall Chadwick Pty Limited,Australia
Hanrick Curran Chartered Accountants,Australia
Hayes Knight (Melbourne) Pty Ltd,Australia
Hayes Knight (NSW) Pty Limited,Australia
Hayes Knight (QLD) Pty Ltd.,Australia
Hayes Knight (SA) Pty Ltd.,Australia
Hayes Knight Audit (Qld) Pty Ltd,Australia
Hayes Knight Audit Pty Ltd,Australia
Hayes Knight Referral Services Pty Limited,Australia
Hood Sweeney Pty Ltd.,Australia
Hood Sweeney Securities Pty. Ltd.,Australia
Hume Building Society Limited,Australia
I A C Robertson & Co Partnership,Australia
ING Bank (Australia) Limited,Australia
Insolvency & Turnaround Solutions,Australia
IRIS Financial Group Ltd,Australia
James Gall & Associates Pty Ltd.,Australia
JDV Limited,Australia
Jernigan Commodities Limited,Australia
JML Australia Pty Ltd.,Australia
Jobs.com.au Pty Ltd,Australia
Joseph Palmer & Sons,Australia
Kelly Partners Group Holdings Pty Ltd,Australia
Lonergan Edwards & Associates Limited,Australia
Maxim Chartered Accountants,Australia
McGinty Recruitment Pty Limited,Australia
mecu Limited,Australia
Members Equity Bank Limited,Australia
MGI Pty Ltd.,Australia
Mining People International Pty Ltd.,Australia
Mutual Trust Pty Ltd.,Australia
New Revenue Solutions Pty Ltd.,Australia
Newcastle Permanent Building Society Ltd,Australia
NexiaCorp,Australia
Parker Bridge (Australia) Pty Ltd.,Australia
Parkinson Chartered Accountants & Business Advisors,Australia
Pitcher Partners Corporate Pty Ltd.,Australia
Pitcher Partners NSW Pty Limited,Australia
PKF Australia Limited,Australia
PKF Financial Services Pty Ltd.,Australia
Police & Nurses Limited,Australia
Police Bank Ltd.,Australia
Powers Financial Group,Australia
PPB Pty Limited,Australia
Praemium Australia Limited,Australia
Premium Wealth Management Ltd.,Australia
Professional Investment Services Pty Ltd,Australia
Quintas Corporate Advisory Pty Ltd.,Australia
Recruitment Specialist Group Pty Ltd.,Australia
RSM Bird Cameron Partners,Australia
Rural Bank Limited,Australia
Salmon Giles Pty Ltd.,Australia
SFG Australia Limited,Australia
Shaw Stockbroking Ltd.,Australia
Shelco Services Pty. Ltd.,Australia
Staff & Exec Pty Limited,Australia
Sugar International Limited,Australia
Suncorp-Metway Limited,Australia
Superannuation Administration Corporation,Australia
Surety International Pty Ltd,Australia
Teachers Mutual Bank Limited,Australia
The Myer Family Company Ltd,Australia
Total Fund Services Limited,Australia
TRC Group Pty Ltd.,Australia
Tribeca Learning Pty Limited,Australia
Veda Advantage Limited,Australia
Wagga Wagga Business Enterprise Centre Ltd.,Australia
Walter Partners Pty Ltd,Australia
"Western Australia Treasury Corp., Research Division",Australia
William Buck (NSW) Pty Ltd,Australia
William Buck (WA) Pty Ltd,Australia
William Buck Pty Ltd,Australia
William Schoch & Co,Australia
Workpac Pty Ltd,Australia
Banco do Brasil Aktiengesellschaft,Austria
Dr. Scholler & Partner,Austria
IMMO-BANK AG,Austria
Sberbank Europe AG,Austria
Steierm §rkische Bank und Sparkassen AG,Austria
Volksbank Linz+M ºhlviertel reg. GmbH,Austria
Volksbank Wien AG,Austria
Vorarlberger Landes- und Hypothekenbank AG,Austria
zeb/rolfes.schierenbeck.associates gmbh,Austria
"""The Open Joint Stock Company """"Transcaucasus Development Bank""""""",Azerbaijan
AccessBank,Azerbaijan
Azerbaijan Credit Bank OJSC,Azerbaijan
Azer-Turk Bank OJSC,Azerbaijan
Bank Technique OJSC,Azerbaijan
CJS Bank Standard CB,Azerbaijan
Gunay Bank Joint-Stock Bank,Azerbaijan
JSC Bank Silk Way,Azerbaijan
Kapital Bank OJSC,Azerbaijan
Open Joint Stock Company Bank Respublika,Azerbaijan
Open Joint-stock company Rabitabank,Azerbaijan
Parabank OJSC,Azerbaijan
Pasha Bank OJSC,Azerbaijan
The Open Joint Stock Company International Bank of Azerbaijan,Azerbaijan
Unibank Commercial Bank Open Joint-Stock Company,Azerbaijan
Yapi Kredi Bank Azerbaijan Closed Joint Stock Company,Azerbaijan
Butterfield Bank (Bahamas) Limited,Bahamas
Commonwealth Bank Ltd.,Bahamas
BMI Bank B.S.C.,Bahrain
Future Bank B.S.C.,Bahrain
"HSBC Bank Middle East Limited, Bahrain Branch",Bahrain
Central Depository Bangladesh Limited,Bangladesh
EBL Securities Ltd.,Bangladesh
Janata Bank Limited,Bangladesh
Butterfield Bank (Barbados) Limited,Barbados
Signia Financial Group Inc.,Barbados
Bank Moscow Minsk Joint stock Company,Belarus
Belarusian-Russian Belgazprombank Joint-Stock,Belarus
Closed Joint Stock Company Absolutbank,Belarus
Closed Joint Stock Company Belrosbank,Belarus
Closed Joint Stock Company Idea Bank,Belarus
Joint Stock Company Belarusky Narodny Bank,Belarus
Open Joint Stock Company Belvnesheconombank,Belarus
Open Joint Stock Company Paritetbank,Belarus
3G Group,Belgium
AXA Bank Europe SA,Belgium
Banque Diamantaire Anversoise S.A.,Belgium
Die Treuhandgesellschaft AG,Belgium
Ippa Bank,Belgium
NX Partners,Belgium
Record Bank NV,Belgium
Choice Bank Limited,Belize
Bermuda Commercial Bank Limited,Bermuda
HSBC Bank Bermuda Limited,Bermuda
March Limited,Bermuda
Old Mutual (Bermuda) Ltd.,Bermuda
Windcrest Management Limited,Bermuda
Xl Global Services (Bermuda) Ltd.,Bermuda
Banco Mercantil Santa Cruz S.A.,Bolivia
Bancosol S.A,Bolivia
Bosna Bank International d.d.,Bosnia
Cajavec usluzne djelatnosti a.d. Banja Luka,Bosnia
Investiciono-komercijalna banka d.d. Zenica,Bosnia
LT Gospodarska Bank d.d.,Bosnia
Razvojna Banka Jugoisto ®ne Evrope AD,Bosnia
Sberbank a.d. Banja Luka,Bosnia
Sberbank BH d.d.,Bosnia
UniCredit Bank d.d.,Bosnia
Banco Citibank S.A.,Brazil
Banco Industrial Do Brasil SA,Brazil
Banco Lemon S.A.,Brazil
Banco Rendimento S.A.,Brazil
HSBC Bank Brasil S.A. - Banco M  ltiplo,Brazil
Ita   Private Bank International,Brazil
Baiduri Bank Bhd,Brunei-Darussalam
Bank Islam Brunei Darussalam Berhad,Brunei-Darussalam
Perbadanan Tabung Amanah Islam Brunei,Brunei-Darussalam
Standard Chartered Brunei Darussalam,Brunei-Darussalam
D Commerce Bank AD,Bulgaria
Municipal Bank PLC,Bulgaria
ProCredit Bank (Bulgaria) AD,Bulgaria
Raiffeisenbank (Bulgaria) EAD,Bulgaria
Societe Generale Expressbank AD,Bulgaria
TBI Bank,Bulgaria
Banque Agricole Et Commerciale Du Burkina Faso S.A.,Burkina-Faso
Coris Bank International S.A.,Burkina-Faso
ACLEDA Bank Plc.,Cambodia
Advanced Bank of Asia Limited,Cambodia
ANZ Royal Bank (Cambodia) Ltd.,Cambodia
Cambodian Public Bank Plc,Cambodia
Canadia Bank Plc,Cambodia
Cathay United Bank (Cambodia) Corporation Limited,Cambodia
RHB Indochina Bank Limited,Cambodia
Union Commercial Bank Plc,Cambodia
