Investment Banking Name,Country
Afghanistan International Bank,Afghanistan
First Microfinance Bank of Afghanistan,Afghanistan
Banka Kombetare Tregtare Sh.a.,Albania
Algeria Gulf Bank S.p.A.,Algeria
Banque de l'Agriculture et du D ©veloppement Rural SPA,Algeria
Banque Ext ©rieure d'Alg ©rie,Algeria
"Citibank, N.A Algeria",Algeria
Credit Populaire d'Algerie,Algeria
Mora Banc Grup SA,Andorra
Banco Angolano de Neg  cios e Com ©rcio S.A.,Angola
"Banco BIC, SA",Angola
Banco de Com ©rcio e Ind  stria SARL,Angola
Banco de la Nacion Argentina S.A.,Argentina
Banco de La Pampa SEM,Argentina
Banco Privado de Inversiones S.A.,Argentina
"Banco Regional de Cuyo, SA",Argentina
Banco Saenz S.A.,Argentina
Citibank N.A. Sucursal establecida en la Rep  blica Argentina,Argentina
HSBC Argentina Holdings S.A.,Argentina
"Raymond James Argentina Sociedad de Bolsa, S.A.",Argentina
Anelik Bank CJSC,Armenia
Unibank CJSC,Armenia
Aruba Bank N.V.,Aruba
ACIL Tasman Pty Ltd,Australia
Ajilon Consulting Pty Ltd.,Australia
Ammtec Limited,Australia
ANZ Rabinov Property Management Limited,Australia
Aquasia Pty Ltd,Australia
Barclays Bank Australia Limited,Australia
Bellarine Peninsula Community Branch Ltd.,Australia
Brookfield Secured Bonds Series A Issuer Limited,Australia
CBA Capital Australia Limited,Australia
Centrefarm Aboriginal Horticulture Limited,Australia
Clifroy Limited,Australia
DYNAMIQ PTY Ltd.,Australia
EFI International Pty Ltd,Australia
Fat Prophets Pty Ltd.,Australia
First Advantage Australasia Pty Ltd.,Australia
Grosvenor Management Consulting Pty Ltd.,Australia
Herron Todd White Valuers,Australia
Hippo Jobs Pty Ltd,Australia
Home Hill Community Bank,Australia
Hughes Public Relations,Australia
Inglewood & Districts Community Enterprises Limited,Australia
Invest Nexus Limited,Australia
Investec Holdings Australia Limited,Australia
Kaz Capital Pty Ltd.,Australia
Lakeside Pakenham Community Enterprise Limited,Australia
Locher and Associates Pty Limited,Australia
Manningham Community Enterprises Limited,Australia
"National Australia Bank Limited, Research Division",Australia
North Ryde Community Finance Limited,Australia
NSC Corporate Property Consultants,Australia
Our Community Company Ltd,Australia
Planpower Training Solutions,Australia
Preferred Capital Limited,Australia
Quantia Valuation Consultants Pty Ltd.,Australia
Rabobank Australia & New Zealand Group,Australia
Reynolds & Company Pty. Limited,Australia
S2V Consulting Pty Ltd.,Australia
South Burnett Community Enterprises Limited,Australia
Stanfield Funds Management Limited,Australia
Talent2 Consult,Australia
The Quantium Group Pty Ltd.,Australia
"AlpenBank AG, Research Division",Austria
Bank Medici AG,Austria
