Investment Banking Name,Country
DCE-Development Consulting & Engineering,Albania
Banca Privada d'Andorra,Andorra
"Banco de Fomento Angola, S.A.",Angola
"Crescat International, Inc.",Angola
"Allaria Ledesma & CIA Sociedad de Bolsa S.A., Research Division",Argentina
"Banco de Galicia, Research Division",Argentina
Banco de la Provincia de Buenos Aires,Argentina
Banco de San Juan S.A.,Argentina
"Capital Markets Argentina, Research Division",Argentina
GT Group,Argentina
Horizon Capital,Argentina
InvertirOnLine.com Argentina S.A.,Argentina
Metr  polis Compa ±  a Financiera SA,Argentina
Nuevo Banco de Santa Fe SA,Argentina
Quantum Finanzas,Argentina
"Raymond James Argentina Sociedad de Bolsa, S.A., Research Division",Argentina
Structured Intelligence,Argentina
"The Royal Bank of Scotland N.V., Argentina Branch",Argentina
TPCG Valores Sociedad de Bolsa S.A.,Argentina
Voyer International,Argentina
"ARMENBROK OJSC, Research Division",Armenia
Armenian Development Bank OJSC,Armenia
Armenian-Russian Export-Import Bank-Gazprombank Group Closed Joint-Stock Company,Armenia
333 Capital Pty Ltd.,Australia
333 Consulting Pty Ltd,Australia
Abt JTA Pty Ltd,Australia
Adviser Edge Investment Research Pty Ltd,Australia
Agricultural Management Company Pty Ltd,Australia
Allco HIT Limited,Australia
Allen Capital Pty Limited,Australia
Allen Consulting Group Pty Ltd.,Australia
Allier Capital Pty Ltd,Australia
AMC Consultants Pty Ltd.,Australia
AMP Bank Limited,Australia
AMP Group Holdings Limited,Australia
Angus Knight Pty Ltd.,Australia
"ANZ Securities Incorporated, Research Division",Australia
Aon Hewitt Financial Advice Limited,Australia
Asset International Australia Pty Ltd,Australia
Australia Acquisition Corp.,Australia
Australian Executor Trustees Limited,Australia
Australian Investment Research Services Pty Ltd.,Australia
Australian Settlements Limited,Australia
BBY Limited,Australia
"BBY Limited, Research Division",Australia
BCS Monteath,Australia
Beerworth and Partners Limited,Australia
Benelong Capital Partners Pty Ltd.,Australia
Bennelong Wealth Partners,Australia
Bizzell Capital Partners Pty Ltd.,Australia
Blackpeak Capital Pty Ltd.,Australia
Blue Ocean Equities Pty Ltd,Australia
Bluestone Global Limited,Australia
Boomerang Executive,Australia
Brand Finance (Australia) Pty Ltd,Australia
Breakaway Investment Group Pty Ltd.,Australia
Bridges Financial Services Pty Limited,Australia
Broadwater Financial Services Limited,Australia
"Burrell Stockbroking Pty Ltd, Research Division",Australia
Business Aspect Group Pty Ltd,Australia
Canaccord Financial Group (Australia) Pty Ltd.,Australia
"Canaccord Genuity (Australia) Limited, Research Division",Australia
Cannings Corporate Communications,Australia
CAPITAL CREATION Pty Ltd,Australia
Cashel Advisors Pty Ltd,Australia
Castlepines Corporation,Australia
Chesterfields Financial Services Pty Ltd.,Australia
Citak Pty Ltd,Australia
CMB Capital,Australia
Columbus Equity Partners,Australia
"Commonwealth Bank of Australia, Research Division",Australia
Concept Financial Services Group,Australia
Conics Limited,Australia
Consultum Financial Advisers Pty Ltd,Australia
Corality Financial Group Pty Ltd,Australia
Cost Recovery Group Pty Ltd.,Australia
Credit Suisse Holdings (Australia) Limited,Australia
D H Flinders Limited,Australia
Davidson Trahaire Corpsych Pty Ltd,Australia
DB Results Pty Ltd,Australia
Diogenes Research Pty Ltd.,Australia
DMR Corporate Pty Ltd.,Australia
EAC Partners Pty Ltd,Australia
East Gosford & Districts Financial Services Limited,Australia
Empire Financial Planning Pty. Ltd.,Australia
Environmental & Licensing Professionals Pty Ltd.,Australia
ETRADE Australia Limited,Australia
Ettalong Beach Financial Services Ltd,Australia
Euroz Securities Limited,Australia
"Euroz Securities Limited, Research Division",Australia
"Evans & Partners Pty. Ltd., Research Division",Australia
Ferrier Hodgson Group,Australia
Financial Research Holdings Pty Ltd.,Australia
FINPAC Financial Advisors Pty Ltd.,Australia
Fish & Nankivell Ogilvie Watson Pty,Australia
FMD Financial Pty. Ltd.,Australia
Fortnum Financial Group Pty Ltd.,Australia
Foster Stockbroking Pty Ltd.,Australia
"Foster Stockbroking Pty Ltd., Research Division",Australia
Fremantle Community Financial Services Limited,Australia
General Brokerage Services Pty Ltd,Australia
Gerard Daniels,Australia
Global Derivative Services Pty Ltd,Australia
Goldsborough Financial Services Pty Ltd.,Australia
Gosnells Financial Services Limited,Australia
Grange Consulting Group Pty Ltd,Australia
Greenhill Caliburn Pty Limited,Australia
Guildfords (Aust) Pty Ltd.,Australia
GWM Adviser Services Ltd.,Australia
Halifax Investment Services Limited,Australia
Halliday Financial Management Pty Ltd,Australia
Harbord Financial Services Limited,Australia
Hartleys Limited,Australia
Helfen Corporate Advisory Pty Ltd,Australia
Helmsec Global Capital Limited,Australia
