Investment Banking Name,Country
Brookvine Pty Limited,Australia
Canaccord BGF Capital Group Pty Limited,Australia
Capital 19 Pty Ltd.,Australia
Crest Financial Services Pty Ltd.,Australia
Macquarie Securities (Australia) Ltd.,Australia
"Moelis Australia Securities Pty Ltd, Research Division",Australia
Ord Minnett Group Limited,Australia
smn Investment Services GmbH,Austria
Deminor International SCRL,Belgium
Clarien Bank Limited,Bermuda
Mitsubishi UFJ Fund Services Holdings Limited,Bermuda
MUFG Fund Services (Bermuda) Limited,Bermuda
Prime Management Limited,Bermuda
The Bank of New York Alternative Investment Services Ltd.,Bermuda
Banco BTG Pactual S.A.,Brazil
Banco Cruzeiro Do Sul SA,Brazil
Brasil Plural S.A. Banco M  ltiplo,Brazil
ACI Research,Canada
BBS Securities Inc.,Canada
"BCA Research, Inc.",Canada
Casgrain & Company Limited,Canada
Desjardins Securities Inc.,Canada
ERA Forest Products Research,Canada
First Delta Securities Inc.,Canada
Institutional Advisors,Canada
JovFunds Inc.,Canada
KCS Fund Strategies Inc.,Canada
LUSIGHT Limited,Canada
"OTC Valuations, Ltd.",Canada
"Pavilion Advisory Group Ltd., Research Division",Canada
Prism Valuation Limited,Canada
Rockwater Capital Corporation,Canada
Virtual Brokers,Canada
Westcourt Capital Corporation,Canada
World Trade Financial Group,Canada
Admiral Administration Limited,Cayman-Islands
Cainvest International Bank Ltd.,Cayman-Islands
HighWater Ltd.,Cayman-Islands
Maples and Calder,Cayman-Islands
Tokio Marine Financial Solutions Ltd.,Cayman-Islands
"Transcontinental Fund Administration, Ltd.",Cayman-Islands
"CBI (China) Co., Ltd.",China
CEBM Group Ltd.,China
ChinaVest Ltd.,China
Elite International Ltd.,China
Bank of Cyprus Public Company Limited,Cyprus
MDM Holding SE,Cyprus
NKB Investments Limited,Cyprus
Saxo Bank A/S,Denmark
AlphaValue,France
Axonia Partners S.A.S.,France
BNP Paribas Wealth Management,France
"CACEIS, soci ©t © anonyme",France
"Credit Agricole Corporate and Investment Bank, Research Division",France
Day By Day,France
Edmond de Rothschild (France),France
"GDF SUEZ Trading, sa",France
Investeam SAS,France
Kepler Capital Markets SA,France
Newedge Group S.A.,France
OTCex S.A.,France
Riskdata S. A.,France
Akbank AG,Germany
d-fine GmbH,Germany
Freitag & Co. GmbH,Germany
SEB AG,Germany
Swiss¬†Life Deutschland Vertriebsholding GmbH,Germany
Tinion Capital,Germany
