Investment Banking Name,Country
Cr ®dit Andorr † SA,Andorra
"Banco Angolano de Investimentos, S.A.",Angola
Banco VTB  Åfrica S.A.,Angola
AST Partners SA,Argentina
Banco B.I. Creditanstalt S.A.,Argentina
Banco de la Provincia de Cordoba,Argentina
Columbus MB S.A.,Argentina
Deloitte & Co. S.R.L.,Argentina
"Grupo Dolphin S.A., Advisory Arm",Argentina
Infupa S.A.,Argentina
Mario Hugo Azulay & Asociados S.A.,Argentina
MS Finanzas y Gesti  n S.A.,Argentina
Orlando J. Ferreres & Asociados S.A,Argentina
ArmSwissBank CJSC,Armenia
Cascade Capital Holdings CJSC,Armenia
Converse Bank Corporation,Armenia
Achieve Capital Pty Limited,Australia
ACNS Capital Markets Pty Ltd.,Australia
AIMS Financial Group Pty Limited,Australia
Andover Partners,Australia
ANZ Investment Bank,Australia
Aquila Corporate Advisory Pty Ltd,Australia
Argonaut Securities Pty Limited,Australia
Ascienta Pty Ltd.,Australia
Asia Principal Capital Pty Limited,Australia
Aspirion Pty Ltd.,Australia
Austock Corporate Finance Limited,Australia
Baillieu Holst Ltd.,Australia
Baron Partners Limited,Australia
BDO (Australia) Limited,Australia
BDO Corporate Finance Pty Ltd,Australia
Beirut Hellenic Bank,Australia
BKK Partners Pty Ltd,Australia
Burnvoir Corporate Finance Limited,Australia
Canterbury Partners Pty Ltd,Australia
Capital Investment Partners Pty Limited,Australia
Chimaera Financial Group,Australia
"Cielo Capital Pty Ltd, Research Division",Australia
Crowe Horwath Corporate Finance Ltd.,Australia
Cullen Capital Pty Ltd.,Australia
Cygnet Capital Pty Limited,Australia
Davidson Recruitment Services Pty Ltd.,Australia
Deloitte Corporate Finance Pty Limited,Australia
Emerald Partners Pty Limited,Australia
Flagstaff Partners Pty Ltd,Australia
Grant Samuel & Associates Ltd.,Australia
Grant Thornton Corporate (NSW) Pty Ltd.,Australia
Greenstone Partners Pty Limited,Australia
Gresham Advisory Partners Limited,Australia
Gryphon Partners Advisory Pty Ltd.,Australia
Hall Capital Strategies Pty Limited,Australia
HLB Mann Judd Corporate Finance Pty Ltd.,Australia
HSBC Bank Australia Limited,Australia
HVB Australia Pty Ltd.,Australia
Inteq Limited,Australia
Investec Australia Limited,Australia
Investor Resources Limited,Australia
Jacanda Capital Pty Limited,Australia
Kidder Williams Limited,Australia
Lazard & Co Pty Ltd.,Australia
Lazuli Enterprises Pty Ltd,Australia
Linchpin Capital Pty Limited,Australia
Lodge Partners Pty Ltd,Australia
M&A Partners Pty Ltd.,Australia
Macquarie Capital (Australia) Limited,Australia
Maddocks Inc. Pty Ltd.,Australia
McGrathNicol Services Pty Ltd.,Australia
Miro Advisors Pty Ltd.,Australia
Momentum Pacific Group Pty Limited,Australia
Newport Capital Group Pty Limited,Australia
Nextec Strategic Capital,Australia
Octa Phillip Corporate Pty Ltd,Australia
Ord Minnett Limited,Australia
O'Sullivan Partners (Advisory) Pty Limited,Australia
Pachira Capital Pty Ltd,Australia
Pacific Strategy Partners Pty Ltd.,Australia
PCF Capital Group Pty Ltd,Australia
Peloton Capital Pty Ltd,Australia
Peregrine Corporate Limited,Australia
PricewaterhouseCoopers Corporate Finance,Australia
Profusion PAC Pty Ltd,Australia
Prout Partners Pty Ltd,Australia
Provident Capital Limited,Australia
Rabo Australia Limited,Australia
RFC Corporate Finance Limited,Australia
RFC Group Limited,Australia
Sirona Capital Pty Limited,Australia
Somerset Capital,Australia
Taylor Collison Limited,Australia
TG Business Negotiators Pty Ltd,Australia
"Wilson HTM Ltd., Research Division",Australia
bgm Partners AG,Austria
Capital Bank - GRAWE Gruppe AG,Austria
CD Invest Consult GmbH,Austria
ECOS Management GmbH,Austria
EURO Invest Bank AG,Austria
IMAP Level Five M&A Advisors GmbH,Austria
Independent Capital GmbH,Austria
Kommunalkredit Austria AG,Austria
Mergers & Aquisitions Betha Connect Unternehmensberatungs GmbH,Austria
MP Corporate Finance GmbH,Austria
Mummert & Company Corporate Finance GesmbH,Austria
PwC- ñsterreich-Gruppe,Austria
Raiffeisen Centrobank AG,Austria
Raiffeisen Zentralbank  ñsterreich Aktiengesellschaft,Austria
"Schwabe, Ley & Greiner Gesellschaft m.b.H",Austria
TJP Advisory & Management Services GmbH,Austria
UniCredit Bank Austria AG,Austria
VTB Bank (Austria) AG,Austria
Amrahbank Open Joint-Stock Company,Azerbaijan
Addax Bank B.S.C. (c),Bahrain
Bank Alkhair B.S.C.,Bahrain
Capinnova Investment Bank (B.S.C.) (c),Bahrain
Citi Islamic Investment Bank E. C.,Bahrain
Grant Thornton Abdulaal,Bahrain
Gulf One Investment Bank B.S.C. (c),Bahrain
"ICICI Bank Limited, Bahrain",Bahrain
International Investment Bank B.S.C. (c),Bahrain
Kuwait Finance House (Bahrain) B.S.C.(c),Bahrain
Securities Broking And Management Services Ltd.,Bangladesh
"Barbados National Bank, Inc.",Barbados
Cidel Bank & Trust Inc.,Barbados
Closed Joint-Stock Company Alfa-Bank,Belarus
Priorbank Joint stock company,Belarus
Axxess Partners Bvba,Belgium
Banque Degroof SA,Belgium
BNP Paribas Fortis SA/NV,Belgium
"Commerzbank AG, Brussels Branch",Belgium
Euroclear SA/NV,Belgium
Finvex Group SA/NV,Belgium
IceVista,Belgium
KBC Securities NV,Belgium
M&A International S.A.,Belgium
Puilaetco Dewaay Private Bankers SA,Belgium
Valmeon Corporate Finance SPRL,Belgium
Hamilton Capital Ltd.,Bermuda
Bisa Agencia de Bolsa S.A.,Bolivia
Balkan Investment Bank AD Banja Luka,Bosnia
Hypo Alpe-Adria-Bank a.d.,Bosnia
Raiffeisen Bank d.d. Bosna i Hercegovina,Bosnia
Sparkasse Bank dd,Bosnia
UniCredit Bank Banja Luka,Bosnia
Vakufska Banka dd Sarajevo,Bosnia
Angra Partners Consultoria Empresarial e Participacoes Ltda.,Brazil
Banco Bradesco BBI S.A.,Brazil
Banco Calyon Brasil S.A.,Brazil
Banco de Tokyo-Mitsubishi UFJ Brasil S/A,Brazil
Banco KDB do Brasil S.A.,Brazil
Banco Mizuho do Brasil S.A.,Brazil
Banco Modal S.A.,Brazil
Banco Opportunity S.A.,Brazil
Banco Sudameris Brasil S.A.,Brazil
"Banif - Banco Internacional do Funchal (Brasil), S.A.",Brazil
BRKB DTVM,Brazil
Capitale Consultoria Financeira Ltda,Brazil
Caravel Corporate Finance,Brazil
Estrateplan,Brazil
Estrutura de Empresas,Brazil
Excelia Gest £o e Neg  cios,Brazil
Financial Investor Relations Brasil,Brazil
Galia Finance,Brazil
Grupo Fundamentum,Brazil
LatinFinance Advisory & Research S.A.,Brazil
LCA Consultores S/C Ltda.,Brazil
Lefosse Advogados,Brazil
Multicapital do Brasil Consultoria e Participa ß µes Ltda.,Brazil
Plancorp Merchant Bank,Brazil
Singular Partners,Brazil
Telefinance Advisors S/C Ltda.,Brazil
"Tozzini, Freire, Teixeira e Silva Advogados Ltda",Brazil
"Trinity Investimentos, Investment Banking Arm",Brazil
Unibanco Holdings S.A.,Brazil
Vergent Partners S/C Ltda,Brazil
Virtus BR Partners Assessoria Corporativa Ltda.,Brazil
Z3M,Brazil
Capman Financial Group,Bulgaria
CB Victoria EAD,Bulgaria
CIBANK EAD,Bulgaria
"Citibank Europe plc, Bulgaria Branch",Bulgaria
DSK Bank PLC,Bulgaria
ELANA Financial Holding,Bulgaria
ELANA Investment PLC,Bulgaria
Entrea Capital,Bulgaria
"First Financial Brokerage House Ltd., Research Division",Bulgaria
Investbank AD,Bulgaria
Invisia Partners Ltd.,Bulgaria
Karoll Inc.,Bulgaria
MKB Unionbank AD,Bulgaria
MM Consult Ltd.,Bulgaria
"New Europe Corporate Advisory, Ltd.",Bulgaria
Piraeus Bank Bulgaria AD,Bulgaria
Sinvent Consulting OOD,Bulgaria
Sofia International Securities,Bulgaria
UniCredit Bulbank AD,Bulgaria
A.I.M. Group Canada Ltd.,Canada
Aberdeen Gould Capital Markets Ltd.,Canada
Access Capital Corp.,Canada
All Group Financial Services Inc.,Canada
AltaCorp Capital Inc.,Canada
Alternative Capital Group Inc.,Canada
Ascendant Securities Inc.,Canada
"ASG Financial Corporation, Investment Banking Arm",Canada
Aston Hill Securities Inc.,Canada
Attalin Investment Corporation,Canada
Beacon Securities Limited,Canada
Black Spruce Merchant Capital Corporation,Canada
Blair Franklin Capital Partners Inc.,Canada
Blaney McMurtry LLP,Canada
Bloom Burton & Co. Inc.,Canada
"BMO Nesbitt Burns, Inc.",Canada
BNP Paribas (Canada),Canada
BowMont Capital and Advisory Ltd.,Canada
Brahma Communications Corp.,Canada
Brant Securities Limited,Canada
Brookfield Financial Real Estate Group Limited,Canada
Bull Housser & Tupper,Canada
Burkman Capital Corporation,Canada
Burstall Winger LLP,Canada
