Investment Banking Name,Country
Credins Bank Sh.A.,Albania
First Investment Bank Albania Sh.a.,Albania
VeVe Group,Albania
Andorra Banc Agricol Reig SA,Andorra
"BancSabadell d'Andorra, S.A.",Andorra
"Banco Valor, S.A.",Angola
Banco Ciudad de Buenos Aires,Argentina
Banco Comafi S.A.,Argentina
Banco de Galicia & Buenos Aires S.A.,Argentina
Banco Mariva S.A.,Argentina
Consultora Inter Agro S.A.,Argentina
Multifinanzas Compania Financiera S.A.,Argentina
Ameriabank CJSC,Armenia
Procredit Bank cjsc,Armenia
ANZIEX Limited,Australia
Australian Central Credit Union Ltd.,Australia
Avanteos Pty Ltd.,Australia
Bank of Melbourne Limited,Australia
Bank of Western Australia Ltd.,Australia
Bell Potter Securities Limited,Australia
Blackswan Equities Limited,Australia
Bob Templeton Financial Group Pty. Ltd.,Australia
Bongiorno & Partners (NSW) Pty Ltd.,Australia
Challenger Listed Investments Ltd.,Australia
Citigroup First Investment Management Australia Limited,Australia
CMC Markets Asia Pacific Pty Ltd.,Australia
CMG CH China Investments Ltd.,Australia
ComCorp Financial Advice Pty Ltd.,Australia
Cuscal Limited,Australia
Defence Bank Limited,Australia
DJ Carmichael Pty Limited,Australia
Easton Wealth Australia Pty Ltd.,Australia
FIIG Securities Limited,Australia
Financial Index Australia Pty Ltd,Australia
Freeman Fox Securities Pty Ltd.,Australia
Frontier Investment Consulting Pty. Ltd.,Australia
Goldman Sachs Australia Group Holdings Pty. Ltd.,Australia
Goldman Sachs Australia Pty. Ltd.,Australia
Greater Building Society Ltd.,Australia
Growth Plus Financial Group Pty Ltd,Australia
Hayes Knight (WA) Pty Ltd,Australia
Heritage Bank Limited,Australia
Horizon Private Capital Partners Pty Ltd,Australia
Hunter Financial Planning Pty Ltd,Australia
Independent Investment Research Pty Ltd,Australia
Industry Fund Financial Planning Pty Ltd.,Australia
Intech Pty Ltd.,Australia
IWL Limited,Australia
JBWere Pty Ltd,Australia
Johnston Rorke,Australia
Keynes Investments Pty Limited,Australia
Kings Park Capital Pty Ltd.,Australia
La Trobe Financial Services Pty Limited,Australia
Lonsec Limited,Australia
Macquarie Bank Limited,Australia
Magnitude Group Pty Ltd.,Australia
Maitland Mutual Building Society Limited,Australia
Mercer (Australia) Pty Ltd.,Australia
Merideon Pty Ltd,Australia
Millennium3 Financial Services Pty Ltd,Australia
MLC Limited,Australia
Morgans Financial Limited,Australia
MyState Bank Limited,Australia
Northern Crest Investments Limited,Australia
Palandri Wines Limited,Australia
Phaz Pty Limited,Australia
Pins Securities NZ Limited,Australia
Pitt Capital Partners Limited,Australia
Plan B Group Holdings Limited,Australia
Powerwrap Limited,Australia
Queste Communications Ltd.,Australia
Questus Capital Group Pty Ltd.,Australia
Questus Capital Solutions Pty Ltd.,Australia
RAR Investments Pty Ltd,Australia
RBS Group (Australia) Pty Limited,Australia
RIM Securities Limited,Australia
St.George Bank Limited,Australia
Stronghold Investment Management Pty Ltd.,Australia
Tasmanian Perpetual Trustees Limited,Australia
TCI Capital Advisers Pty Ltd,Australia
The Intelligent Investor Publishing Pty Limited,Australia
The Uniting Church (NSW) Trust Association Limited,Australia
Total Financial Solutions Australia Pty Ltd,Australia
Tranzact Financial Services Ltd.,Australia
Tynan Mackenzie Pty Ltd.,Australia
Vantage Analysis Pty Limited,Australia
WHK Mahoney Gavens,Australia
ALIZEE Bank AG,Austria
BAWAG P.S.K.,Austria
European American Investment Bank Aktiengesellschaft,Austria
Hypo Alpe-Adria-Bank International AG,Austria
Hypo Tirol Bank AG,Austria
Meinl Bank AG,Austria
Mezzanin Corporate Finance Unternehmensberatung GmbH,Austria
"Raiffeisenlandesbank Vorarlberg Waren- und Revisionsverband, reg. Gen.m.b.H.",Austria
"Rubicon Capital Partners, GmbH",Austria
Schoellerbank Aktiengesellschaft,Austria
Volksbank Ost registrierte Genossenschaft mit beschr §nkter Haftung,Austria
Alliance Investment Management Ltd.,Bahamas
Bank Of The Bahamas Limited,Bahamas
FirstCaribbean International Bank (Bahamas) Ltd.,Bahamas
Gibraltar Global Securities Inc.,Bahamas
MTI Consulting,Bahrain
Securities and Investment Company BSC(c),Bahrain
BRAC EPL Investments Limited,Bangladesh
EC Securities Limited,Bangladesh
Bayshore Bank & Trust (Barbados) Corporation,Barbados
Oxbridge Bank & Trust Ltd.,Barbados
"""Joint-Stock company """"Zepter Bank""""""",Belarus
Forum Ethibel,Belgium
KBC Bank NV,Belgium
The Capital Markets Company N.V.,Belgium
AFL Investments Limited,Bermuda
Conyers Dill & Pearman Limited,Bermuda
Yuanta Securities Asia Financial Services Limited,Bermuda
Bank of Bhutan Ltd.,Bhutan
Ekonomski institut a.d. Banja Luka,Bosnia
ProCredit Bank d.d.,Bosnia
Botswana Building Society,Botswana
Andrade & Canellas Energia S.A.,Brazil
Banco BVA S.A.,Brazil
Berna Participa ß µes S.A.,Brazil
Caconde Participa ß µes S.A.,Brazil
Centennial Asset Participa ß µes A ßu S.A.,Brazil
Futuretel S.A.,Brazil
Investimentos Bemge SA,Brazil
LF Tel S.A.,Brazil
Newtel Participa ß µes S.A.,Brazil
Scotiabank Brasil S.A. Banco M  ltiplo,Brazil
Sudeste S.A.,Brazil
Telinvest S.A.,Brazil
Tripod Investments,Brazil
Unibanco-Uniao de Bancos Brasileiros S.A.,Brazil
Utilium Participa ß µes S.A.,Brazil
BNP Paribas S.A. - Sofia Branch,Bulgaria
Eurobank Bulgaria AD,Bulgaria
Festa Holding Plc,Bulgaria
International Asset Bank AD,Bulgaria
Status Invest AD,Bulgaria
United Bulgarian Bank AD,Bulgaria
Banque de Cr ©dit de Bujumbura S.M.,Burundi
Eastern and Southern African Trade and Development Bank,Burundi
Actuaires-Conseils Bergeron et Associ ©s inc.,Canada
Altus Securities Inc.,Canada
Bank West,Canada
Blue Moon Investments Inc.,Canada
BMO Capital Markets Canada,Canada
BMO Harris Private Banking,Canada
Brookshire Raw Materials Group Inc.,Canada
Caisse Desjardins de la Chaudi ®re.,Canada
Caisse populaire Desjardins Canadienne Italienne,Canada
Caisse populaire Desjardins de Matane,Canada
Caisse populaire Desjardins du Coeur-des-Vall ©es,Canada
Caldwell Securities Ltd.,Canada
Castellum Capital Management Inc.,Canada
CEM Benchmarking Inc.,Canada
Chippingham Financial Group,Canada
CIBC Wood Gundy Inc.,Canada
Clarington Limited Partnership 1997,Canada
CST Trust Company,Canada
"Cutter Associates Canada, Inc.",Canada
Desjardins Trust Inc.,Canada
Enterprise Castle Hall Alternatives Inc.,Canada
FC Financial Group Ltd.,Canada
Fidelity Partnership 1995,Canada
Fidelity Partnership 1996,Canada
Force Financi ®re Excel Inc.,Canada
"FundEX Investments, Inc.",Canada
Global Alternative Investments Inc.,Canada
Global Maxfin Investments Inc.,Canada
"Hamilton + Partners, Inc.",Canada
HHT Investments Inc.,Canada
HollisWealth Inc,Canada
IPC Securities Corporation,Canada
La Caisse Centrale Desjardins Du Qu ©bec,Canada
La Caisse d' âconomie des employ ©s de la C.I.P. ''La Tuque'',Canada
"MacDougall, MacDougall & MacTier, Inc.",Canada
Manitou Capital Corporation,Canada
MAPLEX Alliance Limited,Canada
Mardu Investments Ltd.,Canada
Mercer (Canada) Limited,Canada
Mine2Capital Inc.,Canada
Mosregion Investments Corp.,Canada
"National Bank Financial, Inc., Research Division",Canada
National Bank Trust Inc.,Canada
NCE Resources Group Inc.,Canada
Norstone Financial Corporation,Canada
Northwood Family Office LP,Canada
Notela Resource Advisors Ltd.,Canada
Open Access Limited,Canada
Pavilion Investment House,Canada
Perimeter Financial Corp.,Canada
PinPoint Advisors,Canada
Professional Investment Services (Canada) Inc.,Canada
Quanto Financial Corporation,Canada
Quinsam Capital Corporation,Canada
"Rampart Studios, Inc.",Canada
Renaissance Pharma Inc.,Canada
Sangra Moller LLP,Canada
Selectpath Benefits & Financial Inc.,Canada
Templeton Limited Partnership 1993,Canada
Templeton Limited Partnership 1994,Canada
Templeton Limited Partnership 1995,Canada
Templeton Limited Partnership 1997,Canada
The Aquila Group,Canada
