Investment Banking Name,Country
"Banco Privado Atl ¢ntico, S.A.",Angola
MBA Lazard,Argentina
Aegis Equities Research Pty Limited,Australia
Allen & Buckeridge Pty Ltd.,Australia
Allens,Australia
Alpha Equities and Futures Limited,Australia
Chase Corporate Advisory Pty Ltd.,Australia
Corrs Chambers Westgarth,Australia
Empire Securities Group Pty. Limited,Australia
Equity & Advisory Ltd.,Australia
FTI Consulting (Sydney) Pty Ltd,Australia
Grange Capital Partners Pty Ltd.,Australia
Gresham Partners Limited,Australia
Herbert Smith Freehills,Australia
InterFinancial Corporate Finance Limited,Australia
"Kamara Poulos Group Pty Ltd., Advisory Arm",Australia
Norton Rose Australia,Australia
Novo Capital,Australia
Odyssey Capital Pty Ltd,Australia
Origin Capital Group Pty Limited,Australia
Pacific Road Corporate Finance,Australia
Patersons Securities Limited,Australia
Phillip Capital Limited,Australia
Principle Advisory Services Pty Ltd.,Australia
Quentin Ayers Pty Limited,Australia
Rundle Capital Partners Pty Ltd.,Australia
Sequence Capital Pty Limited,Australia
ShineWing Hall Chadwick Pty Ltd,Australia
Wentworth Global Capital Partners Pty Ltd,Australia
Bank Gutmann AG,Austria
Bank Winter & Co. Aktiengesellschaft,Austria
LeitnerLeitner GmbH,Austria
Taylor Wessing e|n|w|c Attorneys at Law,Austria
VCP Capital Partners Unternehmensberatungs AG,Austria
Capitalianz Consulting W.L.L,Bahrain
First Equity Partners,Bahrain
Global Banking Corporation B.S.C. (Closed),Bahrain
Gulf International Bank B.S.C.,Bahrain
Ibdar Bank BSC(c),Bahrain
Oasis Capital Bank B.S.C. (c),Bahrain
TAIB Bank B.S.C. (c),Bahrain
The Caribbean Development Bank,Barbados
ANTHONY Consulting SPRL,Belgium
Capital Advice N.V.,Belgium
Origo Management,Belgium
Servi Fund Venture Partners,Belgium
Winx Capital House nv/sa,Belgium
Apex Fund Services (Bermuda) ltd,Bermuda
Genesis Global Finance (PTY) Limited,Botswana
Banco Itau BBA S.A.,Brazil
BB Banco de Investimento S.A.,Brazil
BES Investimento do Brasil S.A. - Banco de Investimento,Brazil
Jequitib ° Investimentos,Brazil
Patria CIA Securitizadora Credito Imobiliario,Brazil
Pinheiro Guimar £es - Advogados,Brazil
"Vaz, Barreto, Shingaki & Oioli Advogados",Brazil
SORTIS Invest,Bulgaria
"Standard Investment Group, Research Division",Bulgaria
M Invest Co. Ltd.,Cambodia
"Alluence Capital Advisors, Inc.",Canada
BDK Global Search Inc.,Canada
Caledon Capital Management Inc.,Canada
"Canaccord Genuity, Research Division",Canada
Channel Financial Group,Canada
Corpfinance International Limited,Canada
DAI Capital Advisors Inc.,Canada
Evolve Energy Partners,Canada
FirePower Capital Corporation,Canada
Global Exempt Market Solutions Ltd.,Canada
Global Governance Advisors,Canada
GMP Securities L.P.,Canada
Keenan Matthews Finance,Canada
Keystone Financial Publishing Corp,Canada
Kingsdale Capital Partners Inc.,Canada
Last Brick Capital,Canada
Lightyear Capital Inc.,Canada
Lorian Group Inc.,Canada
Mercantile Mergers & Acquisitions Corporation,Canada
MNC Capital Inc.,Canada
NVS Bancorp Limited,Canada
Paragon Partners Inc.,Canada
Persis Holdings Ltd.,Canada
Pinchin Environmental Ltd.,Canada
"Pinnacle Wealth Brokers, Inc.",Canada
Richardson Financial Group Limited,Canada
Salman Partners Inc.,Canada
"Stable Capital Advisors, Inc.",Canada
TD Securities Inc.,Canada
Veracap Corporate Finance Limited,Canada
"Vlaad and Company, Inc.",Canada
IB Partners S.A.,Chile
Athenee Advisory Company Limited,China
"Bank of Jiangsu Co., Ltd.",China
"Beijing Javelin Investment Consulting Company, Ltd.",China
Bluepeak Group,China
Equinox Advisory Partners Limited,China
"Guangzhou Rural Commercial Bank Co., Ltd.",China
Guotai Junan Securities Company Limited,China
Han Kun Law Offices,China
HollyHigh International Capital Co. Ltd.,China
"Kirkwood & Sons, LLC",China
"Morgen Evan Redrock, Inc.",China
MWE China Law Offices,China
Poalim Asia Direct Ltd.,China
Riemann Investment Holdings Limited,China
SmithStreetSolutions,China
The Hina Group,China
Tianshan Energy Capital Partners Ltd.,China
Zero2IPO Research Center,China
Caicedo Asociados C&A.,Colombia
Batalla & Asociados,Costa-Rica
"Patria Corporate Finance, a.s.",Czech-Republic
Pedersen & Partners s.r.o.,Czech-Republic
"Squire Sanders, v.o.s., advok °tn   kancel °r",Czech-Republic
North Sea Capital A/S,Denmark
EFG-Hermes Securities Brokerage,Egypt
Civitta International O ú,Estonia
Asianajotoimisto Castr ©n & Snellman Oy,Finland
Attorneys at law Borenius Ltd,Finland
Ernst & Young Oy,Finland
Global Intelligence Alliance Group Oy,Finland
Krogerus Attorneys Ltd.,Finland
Merasco Oy,Finland
Accuracy SAS,France
Altedis Conseil,France
Athema,France
Banque Privee 1818 Soci ©t © Anonyme,France
Cabinet Lipworth,France
Capitalmind Corporate Finance Advisory,France
Carta Diem,France
Clipperton Finance Limited,France
Conf ©d ©ration Nationale du Cr ©dit Mutuel,France
"Cotty, Vivant, Marchisio & Lauzeral",France
Edmond de Rothschild Corporate Finance,France
Exitis S.A.S.,France
FL Partners,France
Gatienne Brault & Associ ©s,France
Gilles Laporte Conseil,France
Ginesti © Paley-Vincent & Associ ©s,France
"Global Equities S.A., Research Division",France
Global Private Equity,France
Hoche Soci ©t © d'Avocats,France
IDMidCaps,France
Indefi SARL,France
International Private Equity Network,France
"Intuity, SELARL",France
"Montpensier Finance, SAS",France
Ofivalmo S.A.,France
Parteurop Pharma S.A.S.,France
PO Gestion SAS,France
PricewaterhouseCoopers Corporate Finance France,France
Roux Capital,France
S.O. Capital Advice Sarl,France
SGDM,France
"STC Partners, Avocats  † la cour",France
BGFI Holding Corporation S.A.,Gabon
ARTEMIS Advisory Services GmbH,Germany
"Bain & Company Germany, Inc.",Germany
BHF-Bank Aktiengesellschaft,Germany
C.H. Reynolds Corporate Finance AG,Germany
Concentro Management AG,Germany
Creavis GmbH,Germany
Credit Suisse (Deutschland) Aktiengesellschaft,Germany
Deloitte & Touche Corporate Finance Gmbh,Germany
Dubai Oasis Capital Ag,Germany
Global M&A GmbH,Germany
GlobalFinance Beratungs AG,Germany
goetzpartners Corporate Finance GmbH,Germany
Hartmann Zillmer Corporate Finance GmbH,Germany
Hengeler Mueller,Germany
Hoffmann Liebs Fritsch & Partner,Germany
I-ADVISE AG,Germany
IPONTIX Equity Consultants GmbH,Germany
KEYLENS AG,Germany
Knauthe Eggers,Germany
Ludwig & Co. GmbH,Germany
M.M.Warburg & CO (AG & Co.) KGaA,Germany
MPC M ºnchmeyer Petersen & Co. GmbH,Germany
MZ Consulting GmbH,Germany
PEFS Private Equity Financial Services,Germany
Pestlin & Co. Corporate Finance GmbH & Co. KG,Germany
R  dl & Partner GmbH,Germany
Renell Wertpapierhandelsbank AG,Germany
Simon Kucher & Partner Strategy & Marketing Consultants GmbH,Germany
SJ Berwin Knopf Tulloch Steininger,Germany
Skillnet GmbH,Germany
SSC Consult Corporate Finance GmbH & Co. KG,Germany
The ACON Group SE,Germany
TRIACON Solutions GmbH,Germany
Verion AG,Germany
Fidelity Bank Limited,Ghana
Vector Partners,Greece
Ample Finance Group,Hong-Kong
Asia Capital Investment Partners,Hong-Kong
"Asia Growth Private Equity 1, Ltd.",Hong-Kong
"Asia Growth Private Equity 2, Ltd.",Hong-Kong
"Asia Growth Private Equity 3, Ltd.",Hong-Kong
"Asia Private Equity SPAC 1, Ltd.",Hong-Kong
"Asia Private Equity SPAC 2, Limited",Hong-Kong
Asia Private Equity SPAC 3 Limited,Hong-Kong
Asian Capital Partners Group,Hong-Kong
Blackpeak (Holdings) Limited,Hong-Kong
China Concept Consulting,Hong-Kong
CITIC International Financial Holdings Limited,Hong-Kong
Echobox Limited,Hong-Kong
IRG,Hong-Kong
Mingly Corporation,Hong-Kong
Quam Capital Limited,Hong-Kong
Quantsmile (HK) Limited,Hong-Kong
Standard Chartered Bank (Hong Kong) Limited,Hong-Kong
Citibank Europe plc Hungarian Branch Office,Hungary
Development Bridge Head Group,Hungary
Equilor Investment Ltd.,Hungary
Hayhurst Berlad Robinson,Hungary
MAVA Capital,Hungary
Ambit Holdings Pvt. Ltd,India
Anvil Share and Stock Broking Private Limited,India
Arpwood Capital Ltd,India
Asia Pacific Capital (I) Private Limited,India
Asit C Mehta Investment Intermediates Ltd.,India
Atherstone Group,India
Avalon Consulting Pvt. Ltd.,India
Axis Capital Limited,India
AZB & Partners,India
BDA Connect (Pvt) Limited,India
Celtycs Outsourcing Services Pvt. Ltd.,India
Cipher Capital Advisors Private Limited,India
DataStream Research and Analysis,India
Deloitte Corporate Finance Services India Private Limited,India
Destimoney Securities Private Limited,India
Devenio Optimus Advisors Pvt. Ltd.,India
DIA Capital Advisors LLP,India
Emploi Globale Consulting Pvt. Ltd.,India
Equirus Capital Pvt. Ltd.,India
Finshore Management Services Limited,India
Four-S Research,India
Four-S Services Pvt. Ltd.,India
Hem Securities Limited,India
ICICI Securities Limited,India
IDBI Capital Market Services Limited,India
IL&FS Financial Services Limited,India
IndigoEdge Management Consultancy Pvt. Ltd.,India
Inflection Point Capital,India
Intensive Fiscal Services Pvt. Ltd.,India
"K.R. Choksey Shares & Securities Private Ltd., Research Division",India
Khaitan & Co.,India
KKJ Capital Advisors,India
Lexplosion Solutions Private Limited,India
Narayan Securities Ltd.,India
Paterson Securities Pvt. Ltd.,India
PNR Securities Limited,India
Probe Equity Research Pvt. Ltd.,India
Rabo India Finance Private Limited,India
Religare Capital Markets Limited,India
SMC Global Securities Ltd.,India
SMC Investment and Advisors Limited,India
SPA Securities Limited,India
Springforth Capital Advisors Private Limited,India
Sprout Capital Advisors LLP,India
SSV Fincorp Services,India
Valcon Management Consultants Pvt. Ltd.,India
Value Prolific Consulting Services Private Limited,India
Venator Search Partners Pvt. Ltd.,India
Waterfield Advisors Pvt Ltd,India
Wizarth Advisors,India
YFactor Marketing Private Limited,India
Yotak Human Resources Private Limited,India
Principia Management Group,Indonesia
Arthur Cox & Co.,Ireland
CFM Capital Limited,Ireland
Goodbody Corporate Finance,Ireland
Investec Securities Holdings Ireland Limited,Ireland
KC II Limited,Ireland
New Equity Services,Israel
Aurea Corporate Finance Srl,Italy
AVM Italia S.r.l.,Italy
Banca Popolare Di Vicenza S.C.p.A.,Italy
Blupeter S.p.A.,Italy
Cenciarini & Co.,Italy
Finanziaria Internazionale Holding S.p.A.,Italy
Fineurop S.p.A.,Italy
Fineurop Soditic S.p.A.,Italy
Finlife Corporate Finance S.r.l.,Italy
Grimaldi Studio Legale,Italy
J. Hirsch & Co.,Italy
Kaleidos S.r.l.,Italy
Klecha & Co.,Italy
La Centrale Finanziaria Generale S.p.A.,Italy
Market Capital Corporation,Italy
