Investment Banking Name,Country
Humilis Corporate Finance Advisory,Algeria
Nomad Capital,Algeria
B.A.M&A Corporate Finance,Argentina
Adelaide Equity Partners Limited,Australia
AFG Venture Group,Australia
Agriculture Victoria Services Pty. Ltd.,Australia
Azure Capital Pty Ltd.,Australia
BBB Capital Pty Ltd.,Australia
Bluemount Capital,Australia
CareerOne Pty Limited,Australia
Cielo Capital Pty Ltd.,Australia
Corality Pty Ltd,Australia
Element Capital Pty Ltd,Australia
Endeavour Capital Pty Ltd.,Australia
Fat Hen Ventures Ltd,Australia
"Garrison Capital Pty Ltd., Investment Arm",Australia
Gemini Capital Limited,Australia
Graeme Scott & Co. Pty Ltd.,Australia
ICS Advisory Pty Limited,Australia
Liverpool Partners Pty Ltd,Australia
Minerva Strategic Advisory Pty Ltd,Australia
Oaktower Partnership Pty. Ltd.,Australia
Pottinger Co Pty Limited,Australia
Prescient Venture Capital,Australia
Riverstone Advisory Pty Ltd.,Australia
S&C Pty Ltd,Australia
Sydney Capital Partners,Australia
Tauro Capital Pty Ltd.,Australia
The Harrington Partnership Limited,Australia
TMT Partners Pty Limited,Australia
Venture Advisory Pty Ltd.,Australia
Venture Consulting Pty Ltd,Australia
Wolfstar Group Pty Ltd,Australia
M.A.C. Mergers & Acquisitions-Consulting GmbH,Austria
Raiffeisenlandesbank Ober  sterreich Aktiengesellschaft,Austria
VB Investment Bank AG,Austria
VENTACC Beteiligungs- und Unternehmensberatung GesmbH,Austria
Wirtschaftsservice Burgenland Aktiengesellschaft,Austria
Royal Fidelity Merchant Bank & Trust Limited,Bahamas
Gulf Strategic Partners W.L.L.,Bahrain
ILA Group Ltd.,Bahrain
"Venture Capital Bank, Advisory Arm",Bahrain
BDO Global Coordination B.V.,Belgium
Bio Base Europe,Belgium
Bpost Banque S.A.,Belgium
Erasmus European Business and Innovation Center,Belgium
VentureBay,Belgium
524 Participa ß µes S.A.,Brazil
AMATI Neg  cios Internacionais,Brazil
Arsenal Finan ßas Ltda.,Brazil
Banco M °xima S.A.,Brazil
Belapart S.A.,Brazil
BR Advisory Partners Participa ß µes S.A.,Brazil
Brasilpar Servi ßos Financeiros,Brazil
CIMS S.A.,Brazil
Cria Global,Brazil
Est °ter Gest £o de Investimentos Ltda.,Brazil
IGC Partners,Brazil
"ITC Ventures, Inc.",Brazil
JV Consultoria Estrategica S/C LTDA,Brazil
Lincoln International Assessoria Empresarial Lmtd.,Brazil
Open Point Partners,Brazil
"P °tria Investimentos Ltda, Advisory Arm",Brazil
Prompt Participa ß µes S.A.,Brazil
V2Finance Assessoria e Consultoria Empresarial Ltda,Brazil
"Venture Partners do Brasil, Consulting Arm",Brazil
Voga Empreendimentos e Participa ß µes Ltda.,Brazil
Glo Capital,Bulgaria
Tempest Advisors EOOD,Bulgaria
Afriland First Bank,Cameroon
360 Capital Financial Services Group Inc.,Canada
Animus Ventures Inc.,Canada
ASP Ventures Corp.,Canada
Brouillette & Partners LLP,Canada
CAE Professional Services,Canada
